id,name,email,street_address,city,state,zip_code,name_on_card,card_number,exp_month,exp_year,cvv,billing_zip_code,order_state
1,Brian Jackson,Brian_Jackson@gmail.com,123 229th St,Seattle,WA,98024,Brian Jackson,6476552841321558,01,18,093,98024,pending
2,Monica Judi,MJudi@yahoo.com,4501 Main St,Houston,TX,77073,Monica Judi,4028091802155476,12,20,872,77073,paid
3,Jade Froge,Jade_Froge@myspace.com,92 Fogua Ln,Atlanta,GA,30024,Jade Froge,2873908018847558,02,19,129,30024,pending
4,Jackie Henson,JHenson@hotmail.com,356 Flower Pl,Kansas City,KS,66029,Jackie Henson,2096817963621448,07,18,450,66029,paid
5,Peter Robin,Peter_Robin@gmail.com,778 Maple St,Portland,OR,89023,Peter Robin,6317988270426772,11,21,236,89023,paid
6,Maggie Wallace,Maggie_Wallace@mycompany.com,764 Plantation Rd,Miami,FL,78330,Maggie Wallace,5025116035950507,10,19,308,78330,pending
7,Bowie Royalle,BRoyalle@amazon.com,345 Yellow Cr,New Orleans,LA,20120,Bowie Royalle,1363905554733648,04,18,602,20120,paid
8,Yogi Fokami,Yogi_Fokami@fedex.com,581 Blanket Rd,Marrysville,WA,77302,Yogi Fokami,2069275170314429,09,20,079,77302,pending
9,Ho Wang,HWang@gmail.com,291 Horton Rd,Seaside,OR,20920,Ho Wang,5208467301105785,03,19,010,20920,paid
10,Joe Smith,Joe_Smith@yahoo.com,8903 Rowing Pl,Sacramento,CA,49022,Joe Smith,9438612967624747,12,18,481,49022,paid
